,product_names,prices,product_desc,ratings,total_ratings,links,asin
0,"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium) : Cell Phones & Accessories",$710.00,"About this item
Unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by a one-year satisfaction guarantee.",4.5 out of 5,188 ratings,https://www.amazon.com/Apple-iPhone-12-Pro-Max/dp/B09JFP32Y5/ref=sr_1_13?keywords=iphone&qid=1682360620&sr=8-13,B09JFP32Y5
1,"iPhone 13 Pro, 512GB, Graphite - Unlocked (Renewed Premium) : Cell Phones & Accessories",$939.23,"About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",3.5 out of 5,6 ratings,https://www.amazon.com/iPhone-13-Pro-512GB-Graphite/dp/B0BGYBZ189/ref=sr_1_14?keywords=iphone&qid=1682360620&sr=8-14,B0BGYBZ189
2,"iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed Premium) : Cell Phones & Accessories",$940.00,"About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",4.1 out of 5,366 ratings,https://www.amazon.com/iPhone-Pro-128GB-Sierra-Blue/dp/B0BGYG5GSJ/ref=sr_1_4?keywords=iphone&qid=1682360620&sr=8-4,B0BGYG5GSJ
3,"Apple iPhone XR, 128GB, Red - Unlocked (Renewed Premium) : Cell Phones & Accessories",$299.00,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Backed by a one-year satisfaction guarantee, with free access to Amazon’s Technical Support team throughout the full year and ability to replace or return the product if it does not work as expected.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.",4.5 out of 5,"58,323 ratings",https://www.amazon.com/Apple-iPhone-XR-128GB-Red/dp/B08BGF6W5D/ref=sr_1_1?keywords=iphone&qid=1682360620&sr=8-1,B08BGF6W5D
4,"Apple iPhone 14 Pro Max, 256GB, Gold - Unlocked (Renewed Premium) : Cell Phones & Accessories","$1,280.00","About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",5 out of 5,1 rating,https://www.amazon.com/Apple-iPhone-Pro-256GB-Gold/dp/B0BYLJVFHW/ref=sr_1_10?keywords=iphone&qid=1682360620&sr=8-10,B0BYLJVFHW
5,"Apple iPhone 12 Mini, 128GB, Black - Unlocked (Renewed) : Cell Phones & Accessories",$578.35,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Please check with your carrier to verify compatibility.
When you receive the phone, insert a SIM card from a compatible carrier. Then, turn it on, connect to Wi-Fi, and follow the on screen prompts to activate service.
The device does not come with headphones or a SIM card. It does include a generic (Mfi certified) charger and charging cable.
Tested for battery health and guaranteed to have a minimum battery capacity of 80%.",4.3 out of 5,"5,126 ratings",https://www.amazon.com/Apple-iPhone-Mini-128GB-Black/dp/B08PNKN4J7/ref=sr_1_2?keywords=iphone&qid=1682360620&sr=8-2,B08PNKN4J7
6,"iPhone 13 Pro, 1TB, Graphite - Unlocked (Renewed Premium) : Cell Phones & Accessories","$1,101.00","About this item
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",3.8 out of 5,4 ratings,https://www.amazon.com/iPhone-13-Pro-1TB-Graphite/dp/B0BGYDRGMD/ref=sr_1_16?keywords=iphone&qid=1682360620&sr=8-16,B0BGYDRGMD
7,"Apple iPhone XS, US Version, 256GB, Space Gray - Unlocked (Renewed) : Cell Phones & Accessories",$932.37,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to have a minimum battery capacity of 80%.
Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
The device does not come with headphones or a SIM card. It does include a generic (Mfi certified) charger and charging cable.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length.",4.3 out of 5,"17,271 ratings",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07TJBCC7H/ref=sr_1_5?keywords=iphone&qid=1682360620&sr=8-5,B07TJBCC7H
8,"iPhone 13 Pro, 512GB, Sierra Blue - Unlocked (Renewed Premium) : Cell Phones & Accessories",$939.20,"About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",3.8 out of 5,14 ratings,https://www.amazon.com/iPhone-Pro-512GB-Sierra-Blue/dp/B0BGYF4CZC/ref=sr_1_11?keywords=iphone&qid=1682360620&sr=8-11,B0BGYF4CZC
9,"iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium) : Cell Phones & Accessories",$849.00,"About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",4 out of 5,15 ratings,https://www.amazon.com/iPhone-13-Pro-128GB-Gold/dp/B0BGY8SNQQ/ref=sr_1_8?keywords=iphone&qid=1682360620&sr=8-8,B0BGY8SNQQ
